industry,occupation,yrs_qual,sex,highest_qual,area_of_study,influencing,negotiating,sector,workforce_change,no_subordinates,choose_hours,choose_method,job_quals,qual_needed,experience_needed,keeping_current,satisfaction,advising,instructing,problem_solving_quick,problem_solving_long,labour,manual_skill,computer,group_meetings,computer_level,monthly_salary
Q,2,19,1,13,4,2,1,1,3,3,3,4,13,1,5,4,2,5,4,5,4,4,5,1,1,2,23833.333333
C,9,14,1,11,7,4,2,1,1,0,3,4,7,1,1,4,3,5,3,5,3,4,5,1,1,1,6583.3333333
L,3,16,2,12,4,2,1,1,3,0,5,5,9,1,3,2,2,3,1,4,2,1,5,1,1,2,433.33333333
Q,5,12,2,7,4,5,4,2,1,0,3,1,7,1,3,5,2,5,2,5,2,5,5,2,1,0,379.0
P,1,18,1,13,4,3,4,3,3,0,3,4,12,1,6,3,2,4,2,5,4,1,5,1,2,2,4583.3333333
Q,5,12,2,7,4,5,4,2,3,0,1,4,7,1,1,5,2,5,5,5,3,5,5,1,1,1,4201.6666667
G,1,12,1,7,8,4,1,1,3,2,4,4,7,1,1,5,5,4,3,5,4,5,5,1,1,1,3831.6666667
G,5,12,1,7,1,5,5,2,3,1,2,3,7,1,1,4,3,5,1,5,2,4,5,1,1,2,2166.75
I,5,9,2,3,0,5,5,1,3,1,5,5,3,3,1,5,2,5,5,5,5,5,5,1,1,2,1980.0
E,3,14,1,11,4,5,5,1,3,0,5,1,7,2,5,5,1,5,1,2,2,1,1,1,1,1,3416.6666667
J,7,12,1,7,7,4,1,1,1,0,1,3,7,2,3,5,2,5,5,5,4,5,5,1,1,1,2925.0833333
N,9,12,2,7,6,1,1,1,2,0,1,2,3,1,1,1,3,1,1,2,1,5,5,2,1,0,693.33333333
Q,3,13,2,9,8,1,1,1,3,0,1,2,9,1,3,4,2,4,1,2,1,4,5,1,1,2,3640.0
A,9,12,1,7,1,3,2,1,1,0,4,4,7,1,3,2,2,4,2,4,2,2,5,2,1,0,2826.6666667
I,5,14,1,11,5,3,1,1,3,0,3,4,7,2,5,3,2,4,2,4,2,5,5,1,1,1,3791.6666667
M,1,18,1,13,6,4,3,2,3,1,3,5,13,2,5,3,1,4,4,5,5,5,5,1,3,2,6166.6666667
Q,3,13,2,9,8,5,5,1,3,0,2,3,9,2,3,5,2,5,3,5,4,5,5,1,2,3,3120.0
O,4,13,2,9,9,2,1,2,2,0,3,4,13,3,6,4,2,3,2,3,2,4,5,1,3,2,4666.6666667
